station_id,station_name,station_latitude,station_longitude,first_used_datetime,last_used_datetime
3192,Liberty Light Rail,40.711242299999995,-74.0557013,2018-01-01 18:52:17.573,2020-01-31 22:29:06.885
3193,Lincoln Park,40.7246050998869,-74.07840594649316,2018-01-01 14:59:33.299,2020-01-31 22:24:15.005
3194,McGinley Square,40.7253399253558,-74.06762212514876,2018-01-01 11:39:39.960,2020-01-31 21:29:14.791
3195,Sip Ave,40.730742625306576,-74.06378388404845,2018-01-01 01:29:03.020,2019-02-28 23:56:09.427
3195,Sip Ave,40.73089709786179,-74.06391263008119,2019-03-01 00:11:28.767,2020-01-31 22:48:42.625
3196,Riverview Park,40.7443187,-74.04399090000001,2018-01-02 19:24:54.597,2020-01-31 20:06:34.209
3198,Heights Elevator,40.748715945380226,-74.04044330120088,2018-01-01 10:00:15.789,2020-01-31 20:43:05.326
3199,Newport Pkwy,40.728744799999994,-74.03210820000001,2018-01-01 15:55:58.919,2020-01-31 22:18:04.496
392,Jay St & Tech Pl,40.695065,-73.987167,2019-10-06 16:28:27.321,2019-10-06 16:28:27.321
478,11 Ave & W 41 St,40.76030096,-73.99884222,2018-07-29 12:21:25.529,2018-07-29 12:21:26.469
482,W 15 St & 7 Ave,40.73935542,-73.99931783,2018-12-22 16:18:04.589,2018-12-22 16:18:08.828
484,W 44 St & 5 Ave,40.75500254,-73.98014437,2019-07-18 16:13:19.269,2019-07-18 16:13:19.269
486,Broadway & W 29 St,40.7462009,-73.98855723,2018-07-11 17:13:18.458,2018-09-14 09:36:58.765
487,E 20 St & FDR Drive,40.73314259,-73.97573881,2019-05-27 18:37:03.624,2019-05-27 18:42:52.408
496,E 16 St & 5 Ave,40.73726186,-73.99238967,2019-09-21 20:03:07.507,2019-09-21 20:03:07.507
498,Broadway & W 32 St,40.74854862,-73.98808416,2018-07-20 11:20:31.376,2018-07-20 11:20:31.376
501,FDR Drive & E 35 St,40.744219,-73.97121214,2018-05-29 18:21:45.372,2018-05-29 18:21:45.372
504,1 Ave & E 16 St,40.73221853,-73.98165557,2019-06-02 14:02:30.883,2019-06-02 14:02:30.883
505,6 Ave & W 33 St,40.74901271,-73.98848395,2018-06-29 12:59:40.408,2019-07-14 23:08:15.901
508,W 46 St & 11 Ave,40.76341379,-73.99667444,2018-07-07 16:18:32.995,2018-10-13 14:42:47.672
513,W 56 St & 10 Ave,40.768254,-73.988639,2018-07-29 18:52:57.961,2019-03-15 19:37:18.781
514,12 Ave & W 40 St,40.76087502,-74.00277668,2018-01-27 13:15:21.674,2019-10-21 10:21:43.428
